 - Plot 0; - Plot 0; - Plot 1; - Plot 1; - Plot 2; - Plot 2
1162;195,6;1162;200;1162;399,5
1163;203,5;1163;200;1163;359,4
1164;193,6;1164;200;1164;409,5
1165;199,6;1165;200;1165;379,8
1166;201,9;1166;200;1166;368
1167;194,4;1167;200;1167;405,8
1168;198,8;1168;200;1168;384,3
1169;197,2;1169;200;1169;392,4
1170;197,3;1170;200;1170;392
1171;192;1171;200;1171;419,6
1172;196,6;1172;200;1172;396,6
1173;205,1;1173;200;1173;353,6
1174;200,6;1174;200;1174;376
1175;199,4;1175;200;1175;382,3
1176;196,2;1176;200;1176;398,7
1177;205,6;1177;200;1177;351
1178;200;1178;200;1178;379,1
1179;203,1;1179;200;1179;363,2
1180;200,3;1180;200;1180;377
1181;200,8;1181;200;1181;374,8
1182;207,7;1182;200;1182;339,3
1183;198,6;1183;200;1183;384,9
1184;202,3;1184;200;1184;366,2
1185;202,6;1185;200;1185;364,4
1186;197;1186;200;1186;392,9
1187;195,1;1187;200;1187;402,9
1188;200,4;1188;200;1188;376,4
1189;200,3;1189;200;1189;376,9
1190;199,2;1190;200;1190;382,5
1191;201,6;1191;200;1191;370,2
1192;199,8;1192;200;1192;379,4
1193;201;1193;200;1193;373,3
1194;204,3;1194;200;1194;356,3
1195;203,5;1195;200;1195;359,9
1196;202,1;1196;200;1196;366,9
1197;201,2;1197;200;1197;371,1
1198;198;1198;200;1198;387,4
1199;205,4;1199;200;1199;349,5
1200;200,4;1200;200;1200;374,5
1201;200,6;1201;200;1201;373,4
1202;206,9;1202;200;1202;341,2
1203;205,5;1203;200;1203;347,9
1204;195,8;1204;200;1204;396,8
1205;208,8;1205;200;1205;330,8
1206;208,1;1206;200;1206;333,4
1207;202,3;1207;200;1207;362,2
1208;205,2;1208;200;1208;347,2
1209;202,2;1209;200;1209;362,2
1210;201,2;1210;200;1210;366,8
1211;193,8;1211;200;1211;404,8
1212;204;1212;200;1212;353,2
1213;207,5;1213;200;1213;334,9
1214;200,9;1214;200;1214;367,7
1215;201;1215;200;1215;367,1
1216;205,9;1216;200;1216;342
1217;201;1217;200;1217;366,5
1218;192,8;1218;200;1218;408,3
1219;204,1;1219;200;1219;351,2
1220;201;1220;200;1220;366,5
1221;194,8;1221;200;1221;398,5
1222;189,7;1222;200;1222;424,8
1223;200;1223;200;1223;373,4
1224;198,1;1224;200;1224;382,9
1225;199,8;1225;200;1225;374,5
1226;201,3;1226;200;1226;366,8
1227;193,5;1227;200;1227;406,8
1228;194,5;1228;200;1228;402,3
1229;201,5;1229;200;1229;366,8
1230;195,5;1230;200;1230;397,6
1231;199,7;1231;200;1231;376,4
1232;193,5;1232;200;1232;408,2
1233;192,6;1233;200;1233;413,2
1234;203;1234;200;1234;361,1
1235;197,5;1235;200;1235;388,6
1236;198,2;1236;200;1236;385,6
1237;197;1237;200;1237;391,7
1238;199,5;1238;200;1238;379,3
1239;200,8;1239;200;1239;372,7
1240;200,2;1240;200;1240;375,9
1241;198,8;1241;200;1241;382,7
1242;199,8;1242;200;1242;377,7
1243;195,6;1243;200;1243;399,2
1244;204,7;1244;200;1244;353,2
1245;203;1245;200;1245;361,3
1246;197,7;1246;200;1246;388,2
1247;198,3;1247;200;1247;385,5
1248;198,9;1248;200;1248;382,3
1249;199,5;1249;200;1249;379,4
1250;198,1;1250;200;1250;386,6
1251;203,8;1251;200;1251;358,1
1252;196,5;1252;200;1252;394,7
1253;195,4;1253;200;1253;400,7
1254;198;1254;200;1254;388,1
1255;196,4;1255;200;1255;396,3
1256;202,5;1256;200;1256;365,5
1257;198,7;1257;200;1257;384,9
1258;203,4;1258;200;1258;360,8
1259;203;1259;200;1259;362,3
1260;203,5;1260;200;1260;359,9
1261;201,6;1261;200;1261;368,9
1262;199,8;1262;200;1262;377,9
1263;199,4;1263;200;1263;380,1
1264;198;1264;200;1264;387,3
1265;201,5;1265;200;1265;369,6
1266;208;1266;200;1266;336,5
1267;197,8;1267;200;1267;387,6
1268;199,9;1268;200;1268;377
1269;197,6;1269;200;1269;388,8
1270;206,3;1270;200;1270;344,8
1271;201;1271;200;1271;370,8
1272;197,3;1272;200;1272;389,7
1273;197,3;1273;200;1273;390,3
1274;199,3;1274;200;1274;380,1
1275;204,3;1275;200;1275;354,9
1276;202,9;1276;200;1276;361,5
1277;198,2;1277;200;1277;385
1278;200,5;1278;200;1278;373,4
1279;200,5;1279;200;1279;373,5
1280;198,2;1280;200;1280;385,1
1281;206;1281;200;1281;345,7
1282;209,3;1282;200;1282;328,1
1283;197,4;1283;200;1283;387,9
1284;201,7;1284;200;1284;366,1
1285;200,4;1285;200;1285;372,9
1286;201;1286;200;1286;369,9
1287;197,6;1287;200;1287;387
1288;204,7;1288;200;1288;351
1289;201,5;1289;200;1289;366,9
1290;207,3;1290;200;1290;336,8
1291;202,9;1291;200;1291;358,5
1292;197,2;1292;200;1292;387,5
1293;203,5;1293;200;1293;355,8
1294;202,7;1294;200;1294;359,4
1295;198,3;1295;200;1295;381,7
1296;209,7;1296;200;1296;323,8
1297;197,5;1297;200;1297;384,7
1298;198,9;1298;200;1298;377,9
1299;196,4;1299;200;1299;390,9
1300;203;1300;200;1300;357,5
1301;202,9;1301;200;1301;357,8
1302;202;1302;200;1302;362,2
1303;192;1303;200;1303;412,9
1304;200,9;1304;200;1304;368
1305;203,1;1305;200;1305;356,8
1306;198,8;1306;200;1306;378,5
1307;191,3;1307;200;1307;417
1308;196,3;1308;200;1308;392,3
1309;199,5;1309;200;1309;376,1
1310;197,2;1310;200;1310;388,1
